suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
118,2,3,1400,7,4,4,3,0,12,2,2,0,1,1,1,0,1,1,1,1
17,2,2,1300,6,3,4,3,0,12,2,2,0,0,0,1,1,1,1,0,0
84,2,3,1300,6,3,2,1,0,23,2,2,1,1,0,1,0,1,1,0,1
153,2,3,1300,7,4,2,1,0,14,2,2,1,1,0,1,1,1,1,0,1
153,2,3,1250,7,5,2,1,0,14,2,1,0,1,2,1,1,1,1,0,1
94,2,3,1200,7,5,6,5,0,14,2,0,0,0,0,1,1,1,1,0,1
10,2,3,1200,5,3,2,1,0,14,2,0,0,1,0,1,1,1,1,0,1
19,2,3,1200,7,5,3,1,0,12,2,0,0,1,1,1,0,1,0,0,0
153,2,3,1200,7,4,2,1,0,14,2,2,0,1,1,1,0,1,1,0,1
13,2,3,1200,7,4,2,1,0,11,2,0,0,1,0,1,0,1,0,0,1
0,1,3,400,7,3,2,1,0,7,1,0,0,1,0,1,1,1,1,0,0
3,1,3,450,7,3,2,1,0,22,2,0,0,0,0,1,1,1,0,0,0
25,1,3,300,7,3,2,1,0,1,2,0,0,0,0,1,0,1,0,0,1
98,2,3,1200,7,4,2,1,0,23,2,2,0,1,0,1,1,1,1,0,1
98,2,3,1200,8,4,2,1,0,23,2,2,0,1,0,1,1,1,1,0,1
64,2,2,1200,6,3,2,1,0,12,2,2,0,1,1,1,0,1,0,0,1
146,1,0,100,2,1,1,1,1,2,0,0,0,0,0,1,0,1,1,0,0
83,1,1,120,1,0,1,1,1,18,2,0,0,0,0,0,0,0,1,0,0
8,2,2,1200,4,2,1,0,0,11,2,0,0,1,0,1,0,1,1,0,0
9,2,2,1200,4,2,1,0,0,23,2,1,0,1,0,1,0,1,1,0,1
94,2,2,1100,4,2,1,0,0,14,2,0,0,1,0,1,0,1,1,0,0
98,2,3,1100,7,4,2,1,0,23,2,0,0,1,0,1,1,1,1,0,1
17,2,3,1100,4,2,2,0,0,12,2,0,0,0,2,1,0,1,1,0,0
15,2,3,1000,6,4,2,1,0,14,2,1,0,1,0,1,1,1,1,0,1
8,2,2,1000,5,3,2,1,0,11,2,1,0,1,0,1,0,1,1,0,0
51,1,3,400,7,4,2,1,0,5,2,1,0,1,0,1,0,1,1,0,0
44,1,0,350,7,4,2,1,0,5,2,0,0,0,0,1,0,1,1,0,0
79,1,0,330,6,4,2,1,0,19,2,0,0,0,0,1,0,1,0,0,0
53,1,0,320,6,3,2,1,0,8,2,0,0,0,0,1,0,1,0,0,0
91,1,1,130,2,0,1,1,0,12,2,0,0,0,0,1,0,1,0,0,0
33,3,3,500,5,3,2,1,0,26,2,1,0,1,0,1,0,1,1,0,1
27,3,3,500,5,3,2,1,0,16,2,0,0,1,0,1,0,1,0,0,1
98,2,3,950,5,3,2,1,0,23,2,0,0,0,0,1,1,1,1,0,1
153,2,2,900,7,4,2,1,0,14,2,2,0,1,0,1,0,1,0,0,1
94,2,3,900,5,3,2,1,0,14,2,0,0,1,0,1,0,1,1,0,1
94,2,3,900,6,3,2,1,0,14,2,0,0,1,0,1,0,1,1,0,1
43,0,0,30,1,0,1,0,1,18,2,0,0,0,0,0,0,0,1,0,0
16,2,1,900,6,3,1,0,0,14,2,0,0,0,0,1,0,1,0,0,1
98,2,1,750,5,3,1,0,0,23,2,2,0,1,0,1,1,1,1,0,1
9,2,3,700,6,3,2,1,0,23,2,0,0,0,1,1,0,1,0,0,1
64,2,1,700,4,3,1,0,0,12,2,1,0,1,0,1,0,1,1,0,0
16,2,1,650,7,4,2,1,0,14,2,0,0,0,0,1,0,1,0,0,1
98,2,3,650,5,3,1,0,0,23,2,0,0,1,0,1,1,1,1,0,1
16,2,1,650,5,2,1,0,0,14,2,0,0,1,0,1,1,1,1,0,1
6,2,3,600,6,3,2,1,0,14,2,0,0,1,0,1,0,1,0,0,1
17,2,1,600,4,2,1,0,0,12,2,0,0,0,0,1,0,1,1,0,1
16,2,1,450,4,2,1,0,0,14,2,0,0,0,0,1,0,1,0,0,1
90,2,1,450,4,2,1,0,0,12,2,0,0,1,0,1,0,1,1,0,0
153,2,1,400,4,2,1,0,0,14,2,1,0,1,0,1,1,1,1,0,1
16,2,1,350,3,2,1,0,0,14,2,0,0,0,0,1,0,1,0,0,1
152,1,0,180,3,1,1,0,1,9,2,0,0,0,0,1,0,1,0,0,1
133,1,3,260,4,2,1,0,0,28,0,0,0,0,0,1,0,1,0,0,0
150,3,3,550,5,3,2,1,0,16,2,1,0,1,0,1,1,1,1,0,1
137,1,3,200,4,2,1,0,0,2,0,0,0,0,0,1,0,1,1,0,1
141,1,3,200,4,2,1,0,0,3,0,0,0,0,0,1,0,1,1,0,0
161,1,0,180,3,1,1,0,1,28,0,0,0,0,0,1,0,1,1,0,0
7,3,3,550,6,4,2,1,0,11,2,0,0,1,0,1,0,1,1,1,1
118,2,0,350,2,1,1,0,0,12,2,0,0,1,1,1,0,1,1,1,1
84,2,1,250,3,1,1,0,0,23,2,0,0,0,0,1,0,1,0,0,0
150,3,3,550,6,4,2,1,0,16,2,0,0,1,0,1,0,1,1,0,1
161,1,0,180,3,1,1,0,1,28,0,0,0,0,0,1,0,1,0,0,1
161,1,0,180,4,2,1,0,1,28,0,0,0,0,0,1,0,1,0,0,0
62,1,3,400,7,3,1,0,0,15,2,0,0,1,0,1,0,1,0,0,0
92,1,0,130,3,1,1,0,1,25,0,0,0,0,0,1,0,1,0,0,0
126,1,0,100,2,0,1,0,1,25,0,0,0,0,0,1,0,1,0,0,0
158,1,1,150,3,1,1,0,1,25,0,0,0,0,0,1,0,1,0,0,0
116,1,0,150,3,1,1,0,1,29,0,0,0,0,0,1,0,1,0,0,0
162,1,0,150,2,0,1,0,1,29,0,0,0,0,0,1,0,1,0,0,1
151,1,1,150,3,0,1,0,1,6,1,0,0,0,0,1,0,0,1,0,0
144,1,0,100,2,1,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0
138,1,0,110,2,0,1,0,1,2,0,0,0,0,0,1,0,1,1,0,0
145,1,0,125,3,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,1
143,1,0,120,2,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,0
142,1,0,120,2,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,0
160,1,0,130,3,0,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0
