Address,Longitude,Latitude
2829 4173 ST MARYS ,31.03065179,-17.99591156
2776 ST MARYS,31.03093595,-17.99547253
2677 ST MARYS,31.03206811,-17.99428392
3019 ST MARYS,31.02857487,-17.99527096
2760 ST MARYS,31.03169084,-17.99489908
,31.03011541,-17.99461199
2809 ST MARYS ST MARYS ,31.0295499,-17.99605767
2757 ST MARYS,31.03160672,-17.99483931
2787 ST MARYS,31.03026717,-17.9954168
2671 ST MARYS,31.03239615,-17.99423593
6805 ST MARYS,31.03240863,-17.99385536
2748 ST MARYS,31.03101497,-17.99499647
2978 ST MARYS,31.02790675,-17.99621812
6815 ST MARYS,31.03147079,-17.99396702
6816 ST MARYS,31.0313762,-17.99397649
2805 229 JEKACHEKA ROAD,31.02932463,-17.99607134
2790 ST MARYS,31.03017889,-17.99562904
2710 ST MARYS,31.03024731,-17.99462885
2739 ST MARYS,31.03040108,-17.99498393
"2814 60 CHIEDZA ROAD
",31.02980133,-17.99614874
2788 CHIRATIDZO ST MARYS,31.03027354,-17.99556776
2778 CHIRATIDZO ST MARYS,31.03083366,-17.99550568
2708 ST MARYS ,31.03033875,-17.99455634
6804 ST MARYS,31.03250282,-17.99384526
"2674 ST MARYS 
",31.0323141,-17.99435794
"2694 ST MARYS 
",31.03119324,-17.99446792
"2795 4202 ST MARYS 
",31.02983487,-17.99551402
"2800 197 JEKACHEKA ROAD
",31.02902985,-17.99622839
"2817 CHIRATIDZO ST MARYS DRIVE
",31.0300127,-17.99599471
"2820 201 JEKACHEKA ROAD
",31.03013861,-17.99610213
"2801 130 CHIRATIDZO ST MARYS DRIVE
",31.02911078,-17.99611538
"2810 199 JEKACHEKA ROAD
",31.02956675,-17.99616204
"2812 214 JEKACHEKA ROAD
",31.02968769,-17.99615233
2821 202 JEKACHEKA ROAD,31.03022067,-17.99596914
3023 ST MARYS,31.02895543,-17.99528344
"2679 ST MARYS 
",31.03196354,-17.99429251
3020 ST MARYS,31.02867682,-17.99531593
6835 ST MARYS,31.02956794,-17.99418807
2979 2799 ST MARYS ,31.02797915,-17.99583514
2692 ST MARYS,31.03127754,-17.99445087
2983 ST MARYS,31.02834908,-17.99584936
2803 227 JEKACHEKA ROAD,31.02921523,-17.99609653
2767 ST MARYS,31.03213798,-17.99477733
2769 ST MARYS ,31.0312578,-17.99535669
2738 ST MARYS,31.03029254,-17.99492613
2750 CHIEDZA,31.03111901,-17.99498467
3003 ST MARYS,31.02881594,-17.99566956
2715 ST MARYS,31.02987939,-17.99447433
,31.03069828,-17.99452998
2975 ST MARYS,31.02819934,-17.99624261
2697 ST MARYS ,31.03090063,-17.99440138
3013 ST MARYS,31.02795251,-17.9957003
2784 ST MARYS ,31.03048729,-17.99554942
2802 JEKACHEKA,31.02913389,-17.99624389
2733 59 CHIEDZA ROAD,31.03021367,-17.99500311
2686 ST MARYS ,31.0316774,-17.99440698
2727 ST MARYS ,31.02988016,-17.99505181
3048 ST MARYS ,31.02911181,-17.99452934
3049 ST MARYS,31.02902342,-17.99453307
2827 203 JEKACHEKA ROAD,31.03054167,-17.995931
"2822 NYAMASANGO STREET
",31.03024014,-17.99608226
2773 ST MARYS,31.03104793,-17.99532563
,31.03183989,-17.99481275
2646,31.0325454,-17.9963448
8196 ST MARYS,31.03100309,-17.99700102
2638 ST MARYS,31.03290849,-17.9965697
2669 ST MARYS,31.03334883,-17.99649723
,31.03349749,-17.99701105
2645 BANGO,31.03251722,-17.99656206
2665,31.0330593,-17.9963112
2617 BANGO ROAD,31.0337857,-17.9964971
2661,31.03298,-17.9962214
6803 2287 ST MARYS ,31.03403792,-17.99723385
REAPING TIME,31.03427202,-17.99684902
2662 ST MARYS,31.03308057,-17.99609604
2660 ST MARYS,31.03298809,-17.99604076
2625 ST MARYS ,31.03355614,-17.99692229
2656 ST MARYS,31.03279692,-17.99592482
8206 ST MARYS,31.03280492,-17.99708528
2610 ST MARYS,31.03392695,-17.99613759
2633 ST MARYS,31.03308248,-17.99692276
2611 ST MARYS,31.0339647,-17.99630647
2617 79 CHIEDZA ROAD,31.03378915,-17.99658387
2605 ST MARYS,31.03373543,-17.99593093
2651 ST MARYS,31.03250087,-17.99595967
2623 ST MARYS ,31.03359022,-17.9968351
2664 ST MARYS,31.03317077,-17.99615538
2641 BANGO ROAD,31.0326348,-17.9965352
2659 ST MARYS,31.03270365,-17.99668291
2670 MHONGO STREET,31.0333925,-17.9962764
2596,31.0331073,-17.9958429
8201 ST MARYS,31.032327,-17.99680915
8213 ST MARYS,31.03293317,-17.9973323
2666 ST MARYS,31.03326243,-17.99621276
2609 ST MARYS,31.0340491,-17.9961864
2623 BANGO ROAD ST MARY,31.033656,-17.9968593
2625 BANGO ROAD ST MARY,31.0336476,-17.996947
2601,31.0336184,-17.9957021
8218 ST MARYS,31.03245141,-17.99704029
8246 ST MARYS,31.03199899,-17.99791033
8265 ST MARYS,31.03252389,-17.9981301
2647 BANGO ROAD,31.0322348,-17.9964615
8214 ST MARYS,31.03281163,-17.99727416
2612 ST MARYS,31.03385938,-17.9962251
2624,31.0335612,-17.9967255
2891 ST MARYS,31.03057078,-17.9978509
2910 ST MARYS,31.03027441,-17.99749744
8519 ST MARYS,31.02997812,-17.99805288
2897 ST MARYS,31.02996048,-17.99793311
8239 ST MARYS,31.03179193,-17.99742985
2915 ST MARYS,31.03076262,-17.99744755
2893 ST MARYS,31.03035307,-17.99787404
8244 ST MARYS,31.03178004,-17.99809955
8200 ST MARYS,31.03105866,-17.99742208
2947 ST MARYS,31.03052621,-17.99704541
2940 ST MARYS,31.02987362,-17.99712352
9534 ST MARYS,31.0293461,-17.99746323
2902 ST MARYS,31.02948285,-17.99757073
2906 ST MARYS,31.02988458,-17.99753889
2933 ST MARYS,31.02921748,-17.99719927
9533 ST MARYS,31.02926235,-17.99753268
2930 ST MARYS,31.02893144,-17.997233
8241 ST MARYS,31.03167754,-17.99761767
8217 ST MARYS,31.03253803,-17.99709799
2905 ST MARYS,31.02980663,-17.9975558
2608 ST MARYS,31.03398819,-17.99604494
2594 ST MARYS,31.0330554,-17.99573684
6791 ST MARYS ,31.033334,-17.99830034
2649 ST MARYS,31.03253086,-17.9963373
2908 ST MARYS,31.03008623,-17.99752857
2936 ST MARYS,31.02949378,-17.99716654
2935 CHITUNGWIZA ST MARYS,31.02940438,-17.99717854
2620 ST MARYS,31.03360205,-17.9965888
8516 ST MARYS,31.03027662,-17.99801921
2614 ST MARYS,31.03379814,-17.99631226
2606 ST MARYS,31.03362047,-17.99609582
2931 ST MARYS,31.02902566,-17.99722222
2674 ST MARYS,31.03340177,-17.99635975
2944 ST MARYS,31.03024655,-17.99707906
8198 ST MARYS,31.03103107,-17.99721163
8514 ST MARYS,31.03047472,-17.99799592
2602 ST MARYS,31.03342845,-17.99597105
8188 ST MARYS ,31.03169989,-17.99666754
6800 2286 ST MARYS ,31.03383986,-17.99751182
6798 ST MARYS ,31.03373783,-17.99771082
2939 ST MARYS,31.02978178,-17.99713259
9524 9524 CHITUNGWIZA ST MARYS ROAD,31.0288537,-17.9972096
8518 ST MARYS,31.03007349,-17.99804306
2634 ST MARYS,31.0331032,-17.99669426
2937 ST MARYS ST MARYS ,31.029544,-17.9971024
2591JEKACHEKA,31.0331153,-17.9954741
8520 ST MARYS,31.02988014,-17.99806591
9532 ST MARYS,31.02914856,-17.99748508
8283 ST MARYS,31.03302672,-17.99823983
2887 ST MARYS,31.03091695,-17.99781074
2607 JEKACHEKA,31.03409428,-17.99614876
8210 ST MARYS,31.03320113,-17.99732036
2655,31.0327041,-17.9960764
6802 ST MARYS,31.03386134,-17.99728794
2967 ST MARYS,31.0290951,-17.99707051
2969 ST MARYS,31.02902592,-17.99709061
2628 ST MARYS,31.0295824,-17.99748788
8186 ST MARYS,31.03373293,-17.99731019
2618 ST MARYS,31.03366644,-17.9964947
2639 CHIEDZA,31.03280402,-17.99674167
6795 6795 GOMBO STREET,31.03360791,-17.9978915
8242 ST MARYS,31.03165488,-17.99773707
6924 ST MARYS,31.03403759,-17.99674051
8517 ST MARYS,31.03017345,-17.99803083
