suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
8,2,3,2000,8,3,2,1,5,14,2,2,1,1,2,1,1,1,1,0,1
21,2,3,2000,8,4,3,2,5,12,2,0,1,0,1,1,0,1,1,0,1
94,2,3,2000,8,3,2,1,5,14,2,1,1,1,1,1,1,1,0,0,1
70,2,3,2000,7,4,2,1,5,12,2,2,0,1,0,1,1,1,1,0,1
73,2,3,2000,7,4,2,1,5,23,2,2,1,1,1,1,1,1,1,0,1
23,2,2,2000,5,3,1,0,5,12,2,1,0,1,1,1,1,1,1,0,0
161,2,3,2000,5,3,1,0,5,12,2,2,0,1,0,1,0,1,1,1,1
21,2,3,1700,6,4,2,1,4,12,2,0,0,1,3,1,0,1,0,1,1
64,2,3,1700,6,3,2,1,4,26,2,1,1,1,1,1,1,1,1,0,1
102,1,3,75,1,0,1,0,4,24,2,0,0,0,0,1,0,1,1,0,0
84,1,0,70,1,0,1,0,4,20,2,0,0,1,0,1,0,1,0,0,0
57,1,3,400,7,4,2,1,3,5,2,1,0,1,0,1,0,1,1,0,0
10,2,3,1400,5,2,1,0,4,11,2,2,0,1,2,1,0,1,1,0,1
103,2,2,1100,4,2,1,0,4,14,2,0,0,1,0,1,0,1,1,0,0
64,2,3,1300,5,4,2,1,4,26,2,0,0,1,0,1,0,1,0,0,1
68,1,3,400,7,3,1,0,3,15,2,0,0,1,0,1,0,1,0,0,0
50,1,3,350,7,4,2,1,3,5,2,0,0,0,0,1,0,1,1,0,0
74,2,3,1300,5,3,1,1,4,26,2,3,1,1,3,1,1,1,1,0,1
21,2,3,1800,7,4,3,2,4,12,2,2,1,1,0,1,1,1,1,0,1
21,2,3,1800,7,4,4,2,4,12,2,2,1,1,0,1,0,1,1,0,1
70,2,3,1800,7,4,3,2,4,12,2,0,0,1,0,1,1,1,1,0,1
14,2,3,1800,7,3,2,1,4,23,2,2,0,1,0,1,1,1,1,1,0
80,1,3,350,7,3,1,1,3,19,2,0,0,0,0,1,0,1,0,0,0
29,1,3,300,7,3,2,1,2,1,2,0,0,0,0,1,0,1,0,0,0
159,1,3,300,7,2,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0
77,1,3,500,6,1,1,0,4,26,2,1,0,1,0,1,1,1,1,0,0
28,1,3,450,6,4,2,1,4,0,2,0,0,0,0,1,0,1,1,0,0
65,2,2,2500,10,4,2,1,4,12,2,2,1,1,0,1,1,1,1,0,1
64,2,2,1500,6,3,2,1,4,26,2,1,1,1,2,1,0,1,0,0,1
7,2,3,1500,6,3,4,3,4,14,2,0,0,1,0,1,1,1,1,0,1
14,2,3,1900,7,4,2,1,5,23,2,2,1,1,2,1,0,1,0,1,1
78,1,3,420,6,3,2,1,4,27,2,1,0,0,0,1,0,1,1,0,0
108,2,3,1500,6,4,2,1,4,23,2,2,1,1,0,1,1,1,1,0,1
161,2,3,2500,10,3,2,1,5,12,2,1,0,1,4,1,0,1,1,1,1
